hcp_id,hcp_name,territory_id,territory_name,hcp_tier,total_net_sales,total_calls,avg_engagement_score,days_since_last_call,segment_label,risk_level,risk_score,prioritization_score,recommended_action
HCP0001,Dr. Aryan Maharaj,T001,Pune Central,Tier 2,8974591.97,53,53.87,4,High Value,Low Risk,15.1,72.5,Maintain engagement
HCP0002,Dr. Gagan Sami,T002,Mumbai Metro,Tier 3,2003237.93,36,54.64,14,Low Engagement,Medium Risk,37.9,49.2,Monitor low engagement
HCP0003,Dr. Viraj Tiwari,T003,Nashik North,Tier 1,7987030.54,47,46.79,20,High Value,High Risk,31.1,76.6,Schedule follow-up call
HCP0004,Dr. Saumya Mall,T004,Nagpur Vidarbha,Tier 2,2696443.45,57,50.11,1,High Value,Medium Risk,26.1,42.6,Maintain engagement
HCP0005,Dr. Harini Mall,T005,Delhi NCR,Tier 1,2276457.35,43,56.3,0,Low Engagement,Low Risk,24.2,35.5,Monitor low engagement
HCP0006,Dr. George Rai,T006,Gurgaon Corporate,Tier 1,3292647.67,34,48.91,20,Low Engagement,Medium Risk,43.3,55.5,Monitor low engagement
HCP0007,Dr. Caleb Sharaf,T007,Bengaluru Urban,Tier 3,3238864.04,30,40.3,7,Low Engagement,Low Risk,50.5,36.9,Monitor low engagement
HCP0008,Dr. Janaki Handa,T008,Hyderabad Central,Tier 2,2963616.34,32,41.12,4,Low Engagement,Low Risk,48.4,30.3,Monitor low engagement
HCP0009,Dr. Fariq Kaul,T009,Chennai Metro,Tier 3,1830582.61,32,54.34,18,Low Engagement,Medium Risk,43.0,49.6,Monitor low engagement
HCP0010,Dr. Janya Gaba,T010,Kolkata East,Tier 3,1231657.14,43,47.16,1,Low Engagement,Low Risk,38.9,14.7,Monitor low engagement
HCP0011,Dr. Ekbal Garg,T011,Ahmedabad Gujarat,Tier 3,4197629.13,36,41.08,0,Low Engagement,Low Risk,40.7,31.9,Monitor low engagement
HCP0012,Dr. Anamika Kanda,T012,Jaipur Rajasthan,Tier 3,3463024.61,42,49.98,12,Low Engagement,Medium Risk,32.6,52.7,Monitor low engagement
HCP0013,Dr. Diya Rattan,T001,Pune Central,Tier 1,9175931.56,45,50.76,18,High Value,Medium Risk,26.5,82.1,Maintain engagement
HCP0014,Dr. Simon Tata,T002,Mumbai Metro,Tier 2,2492199.52,43,57.91,0,Low Engagement,Low Risk,21.5,38.4,Monitor low engagement
HCP0015,Dr. Liam Koshy,T003,Nashik North,Tier 3,2430297.61,36,47.75,6,Low Engagement,Medium Risk,40.7,35.1,Monitor low engagement
HCP0016,Dr. Janaki Kanda,T004,Nagpur Vidarbha,Tier 1,5632146.66,36,50.06,4,Low Engagement,Medium Risk,29.8,53.1,Monitor low engagement
HCP0017,Dr. Champak Choudhary,T005,Delhi NCR,Tier 3,3040696.3,30,57.5,0,Low Engagement,Low Risk,29.0,42.4,Monitor low engagement
HCP0018,Dr. Devansh Rajan,T006,Gurgaon Corporate,Tier 1,7525277.02,29,51.17,13,Low Engagement,Medium Risk,35.0,68.1,Monitor low engagement
HCP0019,Dr. Advay Contractor,T007,Bengaluru Urban,Tier 3,901272.3,38,47.97,0,Low Engagement,Medium Risk,42.0,12.4,Monitor low engagement
HCP0020,Dr. Chaaya Saran,T008,Hyderabad Central,Tier 3,3841864.92,37,51.76,2,Low Engagement,Low Risk,29.4,45.6,Monitor low engagement
HCP0021,Dr. Xiti Gokhale,T009,Chennai Metro,Tier 2,2160306.92,32,53.66,11,Low Engagement,Medium Risk,39.9,46.7,Monitor low engagement
HCP0022,Dr. Michael Prakash,T010,Kolkata East,Tier 1,8381208.23,36,48.19,12,High Value,Medium Risk,33.5,73.4,Maintain engagement
HCP0023,Dr. Ekiya Suresh,T011,Ahmedabad Gujarat,Tier 3,3143998.0,35,52.66,13,Low Engagement,Medium Risk,36.2,55.8,Monitor low engagement
HCP0024,Dr. Wriddhish Bhardwaj,T012,Jaipur Rajasthan,Tier 2,1664632.53,31,46.48,3,Low Engagement,Low Risk,47.2,21.4,Monitor low engagement
HCP0025,Dr. Ekapad Walia,T001,Pune Central,Tier 3,1383966.94,42,47.67,15,Low Engagement,Medium Risk,43.7,33.9,Monitor low engagement
HCP0026,Dr. Noah Lanka,T002,Mumbai Metro,Tier 2,5515152.5,42,47.64,32,Growth Potential,Medium Risk,38.8,72.4,Maintain engagement
HCP0027,Dr. Devika Rastogi,T003,Nashik North,Tier 1,4192074.88,40,45.52,17,Low Engagement,Medium Risk,38.7,54.6,Monitor low engagement
HCP0028,Dr. Jai Kota,T004,Nagpur Vidarbha,Tier 1,7061018.63,44,46.7,4,High Value,Low Risk,27.1,59.5,Maintain engagement
HCP0029,Dr. Victor Kannan,T005,Delhi NCR,Tier 1,8311843.32,37,58.86,17,High Value,Medium Risk,22.5,89.3,Maintain engagement
HCP0030,Dr. Veer Bir,T006,Gurgaon Corporate,Tier 1,9429019.52,33,52.39,40,Growth Potential,Low Risk,41.1,86.1,Review growth opportunity
HCP0031,Dr. Arya Sunder,T007,Bengaluru Urban,Tier 3,3486525.36,36,50.69,17,Low Engagement,Medium Risk,38.1,57.7,Monitor low engagement
HCP0032,Dr. Xavier Solanki,T008,Hyderabad Central,Tier 3,1090582.21,33,51.06,6,Low Engagement,Low Risk,44.2,28.8,Monitor low engagement
HCP0033,Dr. Raagini Pandya,T009,Chennai Metro,Tier 2,4766722.18,34,48.94,22,Low Engagement,Medium Risk,40.6,64.5,Monitor low engagement
HCP0034,Dr. Guneet Bhat,T010,Kolkata East,Tier 3,3179954.79,26,56.27,5,Low Engagement,Low Risk,33.4,51.3,Monitor low engagement
HCP0035,Dr. Rehaan Gupta,T011,Ahmedabad Gujarat,Tier 3,2422475.94,29,45.48,8,Low Engagement,Low Risk,48.3,34.7,Monitor low engagement
HCP0036,Dr. Arya Shere,T012,Jaipur Rajasthan,Tier 2,1610905.03,39,59.36,5,Low Engagement,Low Risk,28.1,39.2,Monitor low engagement
HCP0037,Dr. Chandresh Zachariah,T001,Pune Central,Tier 1,4546684.54,39,47.72,21,Low Engagement,Medium Risk,37.8,61.7,Monitor low engagement
HCP0038,Dr. Niharika Sunder,T002,Mumbai Metro,Tier 3,1369703.51,43,54.98,0,Low Engagement,Low Risk,29.3,25.9,Monitor low engagement
HCP0039,Dr. Nitesh Raghavan,T003,Nashik North,Tier 3,4525493.35,47,51.96,8,High Value,Low Risk,23.7,68.6,Maintain engagement
HCP0040,Dr. Bhavika Sampath,T004,Nagpur Vidarbha,Tier 3,2367348.87,41,60.95,36,Growth Potential,Low Risk,33.4,69.7,Review growth opportunity
HCP0041,Dr. Teerth Bhardwaj,T005,Delhi NCR,Tier 1,7489345.91,32,50.34,2,High Value,Low Risk,30.4,62.8,Maintain engagement
HCP0042,Dr. Vansha Thakkar,T006,Gurgaon Corporate,Tier 1,2311318.43,37,44.46,0,Low Engagement,Low Risk,41.9,19.8,Monitor low engagement
HCP0043,Dr. Quincy Biswas,T007,Bengaluru Urban,Tier 3,1018092.68,35,52.06,12,Low Engagement,Medium Risk,44.0,36.6,Monitor low engagement
HCP0044,Dr. Yatin Baral,T008,Hyderabad Central,Tier 2,3871246.18,34,58.44,2,Low Engagement,Low Risk,24.0,52.5,Monitor low engagement
HCP0045,Dr. Advika Jayaraman,T009,Chennai Metro,Tier 3,3024949.29,35,54.06,84,Growth Potential,Low Risk,61.6,72.9,Review growth opportunity
HCP0046,Dr. Karan Mital,T010,Kolkata East,Tier 2,3105584.55,42,52.62,8,Low Engagement,Low Risk,29.2,50.5,Monitor low engagement
HCP0047,Dr. Tara Chaudhry,T011,Ahmedabad Gujarat,Tier 3,1086739.79,36,52.33,10,Low Engagement,Medium Risk,42.1,35.3,Monitor low engagement
HCP0048,Dr. Kevin Palla,T012,Jaipur Rajasthan,Tier 3,3707040.74,42,49.74,36,Growth Potential,Medium Risk,40.9,69.5,Maintain engagement
HCP0049,Dr. Nakul Sarma,T001,Pune Central,Tier 2,3589183.4,37,58.89,3,Low Engagement,Low Risk,22.5,52.4,Monitor low engagement
HCP0050,Dr. Hemang Desai,T002,Mumbai Metro,Tier 3,2244307.15,45,51.44,0,Low Engagement,Low Risk,29.0,29.3,Monitor low engagement
HCP0051,Dr. Anita Manda,T003,Nashik North,Tier 3,2274976.65,71,49.83,11,High Value,Medium Risk,31.3,52.3,Maintain engagement
HCP0052,Dr. Yashasvi Suresh,T004,Nagpur Vidarbha,Tier 1,5612496.94,48,49.73,0,High Value,Medium Risk,21.4,55.5,Maintain engagement
HCP0053,Dr. Aradhana Basu,T005,Delhi NCR,Tier 3,3551118.1,35,49.91,5,Low Engagement,Medium Risk,35.1,45.3,Monitor low engagement
HCP0054,Dr. Neel Sathe,T006,Gurgaon Corporate,Tier 3,2103027.87,30,46.8,55,Growth Potential,High Risk,65.3,53.1,Schedule follow-up call
HCP0055,Dr. Manthan Banik,T007,Bengaluru Urban,Tier 3,1832549.9,34,54.88,1,Low Engagement,Low Risk,34.9,31.4,Monitor low engagement
HCP0056,Dr. Benjamin Morar,T008,Hyderabad Central,Tier 3,2176503.44,36,61.22,3,Low Engagement,Low Risk,25.6,41.3,Monitor low engagement
HCP0057,Dr. Zaid Chauhan,T009,Chennai Metro,Tier 2,2873951.46,35,46.46,5,Low Engagement,Low Risk,41.2,35.1,Monitor low engagement
HCP0058,Dr. Nicholas Goel,T010,Kolkata East,Tier 3,1319156.14,46,48.52,3,Low Engagement,Medium Risk,36.5,21.1,Monitor low engagement
HCP0059,Dr. Nisha Kothari,T011,Ahmedabad Gujarat,Tier 3,1860655.26,33,59.94,1,Low Engagement,Low Risk,29.7,34.5,Monitor low engagement
HCP0060,Dr. Balvan Singhal,T012,Jaipur Rajasthan,Tier 3,2203888.58,38,46.11,19,Low Engagement,Medium Risk,46.8,42.2,Monitor low engagement
HCP0061,Dr. Dalaja Kari,T001,Pune Central,Tier 1,7339464.38,50,55.18,4,High Value,Low Risk,15.1,72.8,Maintain engagement
HCP0062,Dr. Mohini Narasimhan,T002,Mumbai Metro,Tier 1,8197105.57,50,46.9,9,High Value,Medium Risk,25.8,68.4,Monitor low engagement
HCP0063,Dr. Yashodhara Ratta,T003,Nashik North,Tier 3,2404762.43,64,57.28,5,High Value,Low Risk,20.1,55.8,Maintain engagement
HCP0064,Dr. Advika Gokhale,T004,Nagpur Vidarbha,Tier 1,6609637.29,47,57.47,19,High Value,Medium Risk,19.5,88.1,Schedule follow-up call
