hcp_id,hcp_name,territory_id,territory_name,hcp_tier,total_net_sales,total_calls,avg_engagement_score,days_since_last_call,cluster_id,segment_label
HCP0001,Dr. Aryan Maharaj,T001,Pune Central,Tier 2,8974591.97,53,53.87,4,1,High Value
HCP0002,Dr. Gagan Sami,T002,Mumbai Metro,Tier 3,2003237.93,36,54.64,14,0,Low Engagement
HCP0003,Dr. Viraj Tiwari,T003,Nashik North,Tier 1,7987030.54,47,46.79,20,1,High Value
HCP0004,Dr. Saumya Mall,T004,Nagpur Vidarbha,Tier 2,2696443.45,57,50.11,1,1,High Value
HCP0005,Dr. Harini Mall,T005,Delhi NCR,Tier 1,2276457.35,43,56.3,0,0,Low Engagement
HCP0006,Dr. George Rai,T006,Gurgaon Corporate,Tier 1,3292647.67,34,48.91,20,0,Low Engagement
HCP0007,Dr. Caleb Sharaf,T007,Bengaluru Urban,Tier 3,3238864.04,30,40.3,7,0,Low Engagement
HCP0008,Dr. Janaki Handa,T008,Hyderabad Central,Tier 2,2963616.34,32,41.12,4,0,Low Engagement
HCP0009,Dr. Fariq Kaul,T009,Chennai Metro,Tier 3,1830582.61,32,54.34,18,0,Low Engagement
HCP0010,Dr. Janya Gaba,T010,Kolkata East,Tier 3,1231657.14,43,47.16,1,0,Low Engagement
HCP0011,Dr. Ekbal Garg,T011,Ahmedabad Gujarat,Tier 3,4197629.13,36,41.08,0,0,Low Engagement
HCP0012,Dr. Anamika Kanda,T012,Jaipur Rajasthan,Tier 3,3463024.61,42,49.98,12,0,Low Engagement
HCP0013,Dr. Diya Rattan,T001,Pune Central,Tier 1,9175931.56,45,50.76,18,1,High Value
HCP0014,Dr. Simon Tata,T002,Mumbai Metro,Tier 2,2492199.52,43,57.91,0,0,Low Engagement
HCP0015,Dr. Liam Koshy,T003,Nashik North,Tier 3,2430297.61,36,47.75,6,0,Low Engagement
HCP0016,Dr. Janaki Kanda,T004,Nagpur Vidarbha,Tier 1,5632146.66,36,50.06,4,0,Low Engagement
HCP0017,Dr. Champak Choudhary,T005,Delhi NCR,Tier 3,3040696.3,30,57.5,0,0,Low Engagement
HCP0018,Dr. Devansh Rajan,T006,Gurgaon Corporate,Tier 1,7525277.02,29,51.17,13,0,Low Engagement
HCP0019,Dr. Advay Contractor,T007,Bengaluru Urban,Tier 3,901272.3,38,47.97,0,0,Low Engagement
HCP0020,Dr. Chaaya Saran,T008,Hyderabad Central,Tier 3,3841864.92,37,51.76,2,0,Low Engagement
HCP0021,Dr. Xiti Gokhale,T009,Chennai Metro,Tier 2,2160306.92,32,53.66,11,0,Low Engagement
HCP0022,Dr. Michael Prakash,T010,Kolkata East,Tier 1,8381208.23,36,48.19,12,1,High Value
HCP0023,Dr. Ekiya Suresh,T011,Ahmedabad Gujarat,Tier 3,3143998.0,35,52.66,13,0,Low Engagement
HCP0024,Dr. Wriddhish Bhardwaj,T012,Jaipur Rajasthan,Tier 2,1664632.53,31,46.48,3,0,Low Engagement
HCP0025,Dr. Ekapad Walia,T001,Pune Central,Tier 3,1383966.94,42,47.67,15,0,Low Engagement
HCP0026,Dr. Noah Lanka,T002,Mumbai Metro,Tier 2,5515152.5,42,47.64,32,2,Growth Potential
HCP0027,Dr. Devika Rastogi,T003,Nashik North,Tier 1,4192074.88,40,45.52,17,0,Low Engagement
HCP0028,Dr. Jai Kota,T004,Nagpur Vidarbha,Tier 1,7061018.63,44,46.7,4,1,High Value
HCP0029,Dr. Victor Kannan,T005,Delhi NCR,Tier 1,8311843.32,37,58.86,17,1,High Value
HCP0030,Dr. Veer Bir,T006,Gurgaon Corporate,Tier 1,9429019.52,33,52.39,40,2,Growth Potential
HCP0031,Dr. Arya Sunder,T007,Bengaluru Urban,Tier 3,3486525.36,36,50.69,17,0,Low Engagement
HCP0032,Dr. Xavier Solanki,T008,Hyderabad Central,Tier 3,1090582.21,33,51.06,6,0,Low Engagement
HCP0033,Dr. Raagini Pandya,T009,Chennai Metro,Tier 2,4766722.18,34,48.94,22,0,Low Engagement
HCP0034,Dr. Guneet Bhat,T010,Kolkata East,Tier 3,3179954.79,26,56.27,5,0,Low Engagement
HCP0035,Dr. Rehaan Gupta,T011,Ahmedabad Gujarat,Tier 3,2422475.94,29,45.48,8,0,Low Engagement
HCP0036,Dr. Arya Shere,T012,Jaipur Rajasthan,Tier 2,1610905.03,39,59.36,5,0,Low Engagement
HCP0037,Dr. Chandresh Zachariah,T001,Pune Central,Tier 1,4546684.54,39,47.72,21,0,Low Engagement
HCP0038,Dr. Niharika Sunder,T002,Mumbai Metro,Tier 3,1369703.51,43,54.98,0,0,Low Engagement
HCP0039,Dr. Nitesh Raghavan,T003,Nashik North,Tier 3,4525493.35,47,51.96,8,1,High Value
HCP0040,Dr. Bhavika Sampath,T004,Nagpur Vidarbha,Tier 3,2367348.87,41,60.95,36,2,Growth Potential
HCP0041,Dr. Teerth Bhardwaj,T005,Delhi NCR,Tier 1,7489345.91,32,50.34,2,1,High Value
