recommendation_rank,hcp_id,hcp_name,territory_id,territory_name,hcp_tier,total_net_sales,total_calls,avg_engagement_score,days_since_last_call,segment_label,risk_level,risk_score,revenue_percentile_rank,recency_score,engagement_percentile_rank,prioritization_score,recommended_action
1,HCP0164,Dr. Eta Sagar,T008,Hyderabad Central,Tier 2,7152628.57,39,62.64,26,High Value,Low Risk,20.5,0.93,0.857,0.993,93.1,Schedule follow-up call
2,HCP0471,Dr. Christopher More,T003,Nashik North,Tier 1,7386435.43,35,57.51,62,Growth Potential,Low Risk,42.9,0.938,0.988,0.93,91.1,Review growth opportunity
3,HCP0029,Dr. Victor Kannan,T005,Delhi NCR,Tier 1,8311843.32,37,58.86,17,High Value,Medium Risk,22.5,0.972,0.704,0.958,89.3,Maintain engagement
4,HCP0064,Dr. Advika Gokhale,T004,Nagpur Vidarbha,Tier 1,6609637.29,47,57.47,19,High Value,Medium Risk,19.5,0.912,0.756,0.924,88.1,Schedule follow-up call
5,HCP0030,Dr. Veer Bir,T006,Gurgaon Corporate,Tier 1,9429019.52,33,52.39,40,Growth Potential,Low Risk,41.1,0.988,0.934,0.673,86.1,Review growth opportunity
6,HCP0170,Dr. Dev Shetty,T002,Mumbai Metro,Tier 1,9848516.54,47,51.32,22,High Value,Low Risk,26.3,0.994,0.814,0.58,85.8,Schedule follow-up call
7,HCP0277,Dr. Unni Dayal,T001,Pune Central,Tier 2,7342558.99,51,56.53,14,High Value,Medium Risk,17.0,0.936,0.651,0.904,85.4,Maintain engagement
8,HCP0266,Dr. Falan Ravi,T002,Mumbai Metro,Tier 2,4865660.9,45,55.91,22,High Value,Low Risk,25.1,0.794,0.814,0.886,84.9,Schedule follow-up call
9,HCP0295,Dr. Yashasvi Shankar,T007,Bengaluru Urban,Tier 2,5082012.06,29,60.86,30,Growth Potential,Low Risk,32.4,0.816,0.882,0.98,84.7,Review growth opportunity
10,HCP0450,Dr. Zashil Butala,T006,Gurgaon Corporate,Tier 2,4118805.99,23,62.0,66,Growth Potential,Low Risk,47.1,0.716,0.994,0.99,84.7,Review growth opportunity
11,HCP0116,Dr. Charan Krishnan,T008,Hyderabad Central,Tier 1,5528161.76,29,55.55,31,Growth Potential,Low Risk,38.1,0.86,0.894,0.882,84.6,Review growth opportunity
12,HCP0291,Dr. Jason Loke,T003,Nashik North,Tier 1,5150944.26,40,56.35,18,High Value,Medium Risk,25.3,0.832,0.73,0.902,84.1,Maintain engagement
13,HCP0451,Dr. Dalaja Kaur,T007,Bengaluru Urban,Tier 2,4238849.7,40,57.9,56,Growth Potential,Low Risk,39.1,0.74,0.98,0.936,84.1,Review growth opportunity
14,HCP0085,Dr. Samuel Salvi,T001,Pune Central,Tier 2,6416606.29,46,52.26,20,High Value,Low Risk,26.3,0.904,0.782,0.662,83.3,Schedule follow-up call
15,HCP0381,Dr. Onveer Butala,T009,Chennai Metro,Tier 2,4457217.38,38,55.92,42,Growth Potential,Low Risk,37.4,0.766,0.94,0.888,82.8,Review growth opportunity
16,HCP0375,Dr. Nisha Arora,T003,Nashik North,Tier 3,4461124.07,53,55.04,20,High Value,Low Risk,22.9,0.768,0.782,0.849,82.3,Schedule follow-up call
17,HCP0453,Dr. Zilmil Saxena,T009,Chennai Metro,Tier 1,6358716.75,42,52.29,35,Growth Potential,Low Risk,34.0,0.9,0.913,0.664,82.2,Review growth opportunity
18,HCP0013,Dr. Diya Rattan,T001,Pune Central,Tier 1,9175931.56,45,50.76,18,High Value,Medium Risk,26.5,0.984,0.73,0.54,82.1,Maintain engagement
19,HCP0364,Dr. Mekhala Khatri,T004,Nagpur Vidarbha,Tier 2,4235090.86,52,54.94,21,High Value,Low Risk,24.1,0.736,0.802,0.838,81.6,Schedule follow-up call
20,HCP0110,Dr. Zayan Kashyap,T002,Mumbai Metro,Tier 1,5511709.26,46,50.63,25,High Value,Low Risk,30.8,0.854,0.848,0.528,80.9,Schedule follow-up call
21,HCP0199,Dr. Abeer Golla,T007,Bengaluru Urban,Tier 1,5518419.5,39,52.74,30,Growth Potential,Low Risk,34.3,0.858,0.882,0.69,80.3,Review growth opportunity
22,HCP0281,Dr. Jeet Vasa,T005,Delhi NCR,Tier 1,6311460.77,32,49.69,58,Growth Potential,Medium Risk,52.7,0.896,0.983,0.439,79.7,Maintain engagement
23,HCP0472,Dr. Advay Gade,T004,Nagpur Vidarbha,Tier 2,6150180.72,54,49.39,64,Growth Potential,Medium Risk,43.7,0.89,0.992,0.419,79.3,Maintain engagement
24,HCP0306,Dr. Anay Pillay,T006,Gurgaon Corporate,Tier 1,6919944.8,35,50.97,27,Growth Potential,Low Risk,37.5,0.92,0.864,0.55,79.2,Review growth opportunity
25,HCP0490,Dr. Meera Borde,T010,Kolkata East,Tier 1,7976528.12,39,58.31,6,High Value,Low Risk,17.4,0.962,0.384,0.948,79.1,Maintain engagement
26,HCP0234,Dr. Gayathri Deep,T006,Gurgaon Corporate,Tier 1,6554187.99,35,57.23,8,High Value,Low Risk,23.5,0.91,0.459,0.914,78.9,Maintain engagement
27,HCP0469,Dr. Eta Raman,T001,Pune Central,Tier 2,9584295.01,33,54.48,7,High Value,Low Risk,26.3,0.992,0.421,0.8,78.4,Maintain engagement
28,HCP0222,Dr. Faraj Chana,T006,Gurgaon Corporate,Tier 3,3507018.67,29,55.24,62,Growth Potential,Low Risk,53.9,0.604,0.988,0.866,78.2,Review growth opportunity
29,HCP0255,Dr. Kiaan Basu,T003,Nashik North,Tier 2,7286421.42,43,51.35,13,High Value,Medium Risk,25.6,0.932,0.622,0.588,78.0,Maintain engagement
30,HCP0213,Dr. Gaurang Sarkar,T009,Chennai Metro,Tier 2,5120201.75,48,49.85,23,High Value,Medium Risk,30.6,0.824,0.826,0.456,77.7,Schedule follow-up call
31,HCP0098,Dr. Charvi Dara,T002,Mumbai Metro,Tier 1,5851885.78,47,48.49,62,Growth Potential,Medium Risk,46.1,0.886,0.988,0.342,77.5,Maintain engagement
32,HCP0309,Dr. Imaran Halder,T009,Chennai Metro,Tier 3,3708713.1,28,55.18,33,Growth Potential,Low Risk,42.9,0.654,0.903,0.859,77.2,Review growth opportunity
33,HCP0328,Dr. Geetika Merchant,T004,Nagpur Vidarbha,Tier 2,5626368.62,50,57.78,7,High Value,Low Risk,14.2,0.874,0.421,0.934,76.9,Maintain engagement
34,HCP0003,Dr. Viraj Tiwari,T003,Nashik North,Tier 1,7987030.54,47,46.79,20,High Value,High Risk,31.1,0.964,0.782,0.221,76.6,Schedule follow-up call
35,HCP0448,Dr. Nakul Sastry,T004,Nagpur Vidarbha,Tier 2,6545386.67,38,46.32,26,High Value,High Risk,40.1,0.908,0.857,0.204,76.6,Schedule follow-up call
36,HCP0287,Dr. Yash Ravi,T011,Ahmedabad Gujarat,Tier 1,3105890.15,34,58.03,58,Growth Potential,Low Risk,47.8,0.52,0.983,0.94,76.5,Review growth opportunity
37,HCP0482,Dr. Nandini Biswas,T002,Mumbai Metro,Tier 1,7516462.67,40,45.18,24,High Value,High Risk,38.4,0.946,0.838,0.133,75.9,Schedule follow-up call
38,HCP0265,Dr. Sanya Basak,T001,Pune Central,Tier 2,7829304.73,42,53.5,7,High Value,Low Risk,21.2,0.96,0.421,0.731,75.8,Maintain engagement
39,HCP0075,Dr. Vaishnavi Bora,T003,Nashik North,Tier 3,7465628.59,52,44.12,27,High Value,High Risk,35.5,0.942,0.864,0.086,75.6,Schedule follow-up call
40,HCP0468,Dr. Fiyaz Mukherjee,T012,Jaipur Rajasthan,Tier 2,5586751.51,42,54.64,8,High Value,Low Risk,21.8,0.864,0.459,0.807,75.2,Maintain engagement
41,HCP0182,Dr. Owen Lanka,T002,Mumbai Metro,Tier 3,3931356.0,47,50.09,29,High Value,Medium Risk,34.9,0.688,0.873,0.486,75.0,Schedule follow-up call
42,HCP0073,Dr. Yutika Nayak,T001,Pune Central,Tier 2,8070277.85,50,51.1,9,High Value,Medium Risk,21.1,0.966,0.495,0.56,74.9,Maintain engagement
43,HCP0342,Dr. Chakradev Sampath,T006,Gurgaon Corporate,Tier 1,9322957.87,39,46.79,16,High Value,Medium Risk,33.8,0.986,0.684,0.221,74.4,Monitor low engagement
44,HCP0082,Dr. Anita Nayak,T010,Kolkata East,Tier 2,7096344.44,48,48.15,15,High Value,Medium Risk,27.9,0.928,0.668,0.328,74.1,Maintain engagement
45,HCP0409,Dr. Balhaar Parsa,T001,Pune Central,Tier 2,3319059.62,37,55.0,35,Growth Potential,Low Risk,39.7,0.564,0.913,0.843,74.0,Review growth opportunity
46,HCP0430,Dr. Robert Rajagopalan,T010,Kolkata East,Tier 2,3622679.64,48,53.56,31,Growth Potential,Low Risk,32.2,0.636,0.894,0.738,73.9,Review growth opportunity
47,HCP0192,Dr. Urvi Bhavsar,T012,Jaipur Rajasthan,Tier 1,3849035.14,39,51.69,37,Growth Potential,Low Risk,40.8,0.674,0.926,0.618,73.8,Review growth opportunity
48,HCP0022,Dr. Michael Prakash,T010,Kolkata East,Tier 1,8381208.23,36,48.19,12,High Value,Medium Risk,33.5,0.974,0.589,0.33,73.4,Maintain engagement
49,HCP0109,Dr. Pavani Narayanan,T001,Pune Central,Tier 3,3852777.4,43,51.19,20,High Value,Low Risk,32.2,0.676,0.782,0.566,73.4,Schedule follow-up call
50,HCP0474,Dr. Ayushman Nayak,T006,Gurgaon Corporate,Tier 3,3140960.95,29,55.38,35,Growth Potential,Low Risk,44.8,0.526,0.913,0.876,73.4,Review growth opportunity
51,HCP0423,Dr. Vrishti Wable,T003,Nashik North,Tier 2,6748139.05,46,47.78,16,High Value,Medium Risk,29.7,0.914,0.684,0.286,73.2,Maintain engagement
52,HCP0203,Dr. Finn Magar,T011,Ahmedabad Gujarat,Tier 2,4957242.0,41,54.61,8,High Value,Low Risk,23.3,0.806,0.459,0.804,73.1,Maintain engagement
53,HCP0045,Dr. Advika Jayaraman,T009,Chennai Metro,Tier 3,3024949.29,35,54.06,84,Growth Potential,Low Risk,61.6,0.498,0.998,0.774,72.9,Review growth opportunity
54,HCP0061,Dr. Dalaja Kari,T001,Pune Central,Tier 1,7339464.38,50,55.18,4,High Value,Low Risk,15.1,0.934,0.264,0.859,72.8,Maintain engagement
55,HCP0327,Dr. Ganga Gaba,T003,Nashik North,Tier 1,3704935.37,59,50.81,21,High Value,Low Risk,29.2,0.65,0.802,0.544,72.7,Schedule follow-up call
56,HCP0001,Dr. Aryan Maharaj,T001,Pune Central,Tier 2,8974591.97,53,53.87,4,High Value,Low Risk,15.1,0.98,0.264,0.762,72.5,Maintain engagement
57,HCP0459,Dr. Jatin Rajagopalan,T003,Nashik North,Tier 1,8549632.6,48,48.81,10,High Value,Medium Risk,24.6,0.976,0.529,0.369,72.4,Maintain engagement
