hcp_id,hcp_name,specialty,hcp_tier,territory_id,city,state,affiliated_hospital,years_practicing,patient_volume,preferred_channel,email_opt_in
HCP0001,Dr. Aryan Maharaj,Dermatologist,Tier 2,T001,Pune,Maharashtra,Kapoor and Sons Hospital,30,683,Phone,True
HCP0002,Dr. Gagan Sami,Endocrinologist,Tier 3,T002,Mumbai,Maharashtra,Balan Inc Hospital,23,364,Email,True
HCP0003,Dr. Viraj Tiwari,Gastroenterologist,Tier 1,T003,Nashik,Maharashtra,"Bala, Issac and Saini Hospital",26,179,Phone,False
HCP0004,Dr. Saumya Mall,Orthopedic Surgeon,Tier 2,T004,Nagpur,Maharashtra,Dutta Ltd Hospital,4,827,Webinar,True
HCP0005,Dr. Harini Mall,Neurologist,Tier 1,T005,Delhi,Delhi,Kale LLC Hospital,20,723,Phone,True
HCP0006,Dr. George Rai,Diabetologist,Tier 1,T006,Gurgaon,Haryana,Parmer LLC Hospital,16,871,Phone,True
HCP0007,Dr. Caleb Sharaf,Pulmonologist,Tier 3,T007,Bengaluru,Karnataka,"Dash, Radhakrishnan and Brar Hospital",26,364,Webinar,False
HCP0008,Dr. Janaki Handa,Endocrinologist,Tier 2,T008,Hyderabad,Telangana,"Boase, Bath and Kari Hospital",15,766,Phone,True
HCP0009,Dr. Fariq Kaul,Orthopedic Surgeon,Tier 3,T009,Chennai,Tamil Nadu,Rai LLC Hospital,17,247,Webinar,False
HCP0010,Dr. Janya Gaba,General Physician,Tier 3,T010,Kolkata,West Bengal,Pant-Kadakia Hospital,16,781,Phone,True
HCP0011,Dr. Ekbal Garg,Pulmonologist,Tier 3,T011,Ahmedabad,Gujarat,"Konda, Gade and Shere Hospital",22,490,Phone,True
HCP0012,Dr. Anamika Kanda,Pulmonologist,Tier 3,T012,Jaipur,Rajasthan,"Nair, Bhalla and Karnik Hospital",22,297,Webinar,False
HCP0013,Dr. Diya Rattan,Oncologist,Tier 1,T001,Pune,Maharashtra,Bhatti-Kakar Hospital,10,332,Phone,False
HCP0014,Dr. Simon Tata,Orthopedic Surgeon,Tier 2,T002,Mumbai,Maharashtra,Shanker-Dhar Hospital,16,221,Webinar,True
HCP0015,Dr. Liam Koshy,Cardiologist,Tier 3,T003,Nashik,Maharashtra,"Yohannan, Lall and Sangha Hospital",11,722,Email,False
HCP0016,Dr. Janaki Kanda,Orthopedic Surgeon,Tier 1,T004,Nagpur,Maharashtra,Upadhyay Group Hospital,26,690,Webinar,False
HCP0017,Dr. Champak Choudhary,Dermatologist,Tier 3,T005,Delhi,Delhi,Dutta Ltd Hospital,2,776,In-person,False
HCP0018,Dr. Devansh Rajan,Gastroenterologist,Tier 1,T006,Gurgaon,Haryana,Sidhu-Wadhwa Hospital,29,241,Webinar,True
HCP0019,Dr. Advay Contractor,General Physician,Tier 3,T007,Bengaluru,Karnataka,"Yadav, Loke and Oak Hospital",13,599,In-person,False
HCP0020,Dr. Chaaya Saran,Dermatologist,Tier 3,T008,Hyderabad,Telangana,Setty Inc Hospital,11,462,Email,True
HCP0021,Dr. Xiti Gokhale,Orthopedic Surgeon,Tier 2,T009,Chennai,Tamil Nadu,"Cherian, Misra and Tripathi Hospital",3,194,Phone,False
HCP0022,Dr. Michael Prakash,Pulmonologist,Tier 1,T010,Kolkata,West Bengal,Zacharia PLC Hospital,7,167,Webinar,True
HCP0023,Dr. Ekiya Suresh,Dermatologist,Tier 3,T011,Ahmedabad,Gujarat,Choudhury LLC Hospital,10,755,Webinar,True
HCP0024,Dr. Wriddhish Bhardwaj,General Physician,Tier 2,T012,Jaipur,Rajasthan,Brar Inc Hospital,29,296,Email,False
HCP0025,Dr. Ekapad Walia,Neurologist,Tier 3,T001,Pune,Maharashtra,Dave Ltd Hospital,25,528,Webinar,True
