rep_id,rep_name,manager_name,territory_id,region,hire_date,experience_years,monthly_call_target,sales_target
REP001,Tanish Grover,George Narula,T001,West,2019-01-29,10,110,1272325
REP002,Sanaya Dixit,George Narula,T002,West,2014-12-28,16,120,1014068
REP003,Chakrika Tara,Kashish Chad,T003,West,2021-05-30,5,110,550143
REP004,Darsh Chahal,Om Sant,T004,West,2019-02-28,8,80,1202582
REP005,Laksh Saini,Watika Balan,T005,North,2017-10-17,1,100,717996
REP006,Anirudh Raja,George Narula,T006,North,2020-07-05,7,110,1531859
REP007,Vedhika Padmanabhan,Rudra Sawhney,T007,South,2024-01-09,2,100,695091
REP008,Lipika Madan,George Narula,T008,South,2017-06-17,2,120,1366242
REP009,Eiravati Kanda,Pooja Gera,T009,South,2014-11-25,12,80,1717964
REP010,Dalbir Sodhi,Rudra Sawhney,T010,East,2023-05-29,4,110,656930
REP011,Viraj Dutta,Watika Balan,T011,West,2016-02-08,2,90,996546
REP012,Wridesh Lata,Brijesh Shenoy,T012,North,2023-06-25,10,100,1324081
REP013,Theodore Rama,Om Sant,T001,West,2020-06-08,11,110,1070332
REP014,Patrick Khalsa,Falan Bains,T002,West,2024-06-24,8,90,785447
REP015,Jagrati Bala,Rudra Sawhney,T003,West,2020-05-20,4,80,844719
REP016,Raghav Tailor,Pooja Gera,T004,West,2023-08-16,15,100,1352518
REP017,Parth Swaminathan,Om Sant,T005,North,2015-01-17,4,90,1447738
REP018,Daksh Kaul,Pooja Gera,T006,North,2024-08-20,10,100,751476
REP019,Anmol Vyas,Rudra Sawhney,T007,South,2022-07-14,3,100,1765217
REP020,Garima Jaggi,George Narula,T008,South,2016-08-14,2,100,811057
REP021,Peter Naik,George Narula,T009,South,2015-06-01,3,100,1330984
REP022,Manbir Dhar,Kashish Chad,T010,East,2016-04-15,17,100,1045609
REP023,Elijah Prakash,Kashish Chad,T011,West,2025-08-31,6,110,1448334
REP024,Harrison Nayar,George Narula,T012,North,2019-07-15,18,80,1468974
REP025,Laban Dugar,Rudra Sawhney,T001,West,2021-10-31,4,80,525075
REP026,Edhitha Ghosh,George Narula,T002,West,2023-12-18,2,90,915515
REP027,Udant Gill,Om Sant,T003,West,2020-11-02,13,80,1721221
REP028,Chaitaly Datta,Falan Bains,T004,West,2017-06-04,9,80,635207
REP029,Mahika Bali,Pooja Gera,T005,North,2017-07-01,7,90,692893
REP030,Timothy Chawla,Falan Bains,T006,North,2022-11-04,11,80,1466776
REP031,Garima Brahmbhatt,Rudra Sawhney,T007,South,2018-06-13,2,120,1408394
REP032,Ekaja Ganesh,Pooja Gera,T008,South,2025-03-23,13,80,1302641
REP033,Gautami Sekhon,Rudra Sawhney,T009,South,2014-08-05,14,100,950292
REP034,Shaurya Krish,Brijesh Shenoy,T010,East,2015-07-22,6,100,1435353
REP035,Aahana Chokshi,Kashish Chad,T011,West,2014-06-03,5,120,1798507
REP036,Libni Sarma,Brijesh Shenoy,T012,North,2021-07-16,8,110,1364010
REP037,Odika Tailor,Pooja Gera,T001,West,2020-11-04,18,80,683965
REP038,Keya Chaudhuri,Watika Balan,T002,West,2022-07-23,9,90,1379199
REP039,Nicholas Seth,George Narula,T003,West,2015-08-28,7,120,540957
REP040,Chaitaly Bahri,Om Sant,T004,West,2019-10-28,13,110,1641936
